Name,EmployeeID,JobTitle,ManagerID,ManagerName,Depth
Erik Fredriksen,1,CEO,,,0
Jenny Olafson,2,Personal Assistant,1,Erik Fredriksen,1
Fredrik Nilsson,3,IT Manager,56,Rolph Lundgren,2
Binh Protzmann,4,Global Product Manager,1,Erik Fredriksen,1
Rolf Wesenlund,6,BI Manager,3,Fredrik Nilsson,3
Erin Bell,7,CMO,1,Erik Fredriksen,1
Mike McDonald,8,Regional Manager Americas,30,Joan Callins,2
Bing Martin,9,Product Marketing Analyst,42,Michael Tyson,3
Ricardo Gucci,10,Account Manager OEM,24,Leif Shine,3
Helena Du Froid,15,Regional Manager Europe,30,Joan Callins,2
Frank Roll,16,Account Manager,15,Helena Du Froid,3
Miro Takako,17,Purchasing Manager,4,Binh Protzmann,2
David Lawson,18,Delivery Manager,4,Binh Protzmann,2
Lennart Skoglund,19,Account Manager,15,Helena Du Froid,3
Sven Stevensen,20,Storeman,18,David Lawson,3
Jacques Clouseau,21,Storeman,18,David Lawson,3
Marcus Salvatori,22,Storeman,18,David Lawson,3
Ira Baumel,23,Storeman,18,David Lawson,3
Leif Shine,24,Sales Manager OEM,30,Joan Callins,2
Sunil Gupta,25,Storeman,18,David Lawson,3
Ann Lindquist,26,Storeman,18,David Lawson,3
John Applegate,27,Network Manager,3,Fredrik Nilsson,3
Kaya Alpan,28,Network Specialist,27,John Applegate,4
Luke Lanza,29,Operater / Clerk,27,John Applegate,4
Joan Callins,30,VP Sales,1,Erik Fredriksen,1
Vlad Casparov,31,Field Marketing Analist,43,Ted Goodman,3
Rob Carsson,32,Account Manager,8,Mike McDonald,3
Stefan Lind,33,Sr Account Manager,15,Helena Du Froid,3
Basil Dendrom,34,Field Marketing Analist,43,Ted Goodman,3
Sammy Cross,35,Product Marketing Analist,42,Michael Tyson,3
Mike Ashkenaz,36,Account Manager,15,Helena Du Froid,3
Cezar Sandu,37,Systems Manager,3,Fredrik Nilsson,3
Joan Cheng,38,Database Administrator,37,Cezar Sandu,4
Mario Kregler,39,Systems Manager,3,Fredrik Nilsson,3
Linda Chi Wu,40,Database Administrator,39,Ted Goodman,4
Michael Wong,41,Database Administrator,39,Ted Goodman,4
Uly Brezinski,42,Product Marketing Manager,7,Erin Bell,2
Ted Goodman,43,Field Marketing Manager,7,Erin Bell,2
Ingrid Hendrix,44,Account Manager,15,Helena Du Froid,3
Bob Park,45,Account Manager,8,Mike McDonald,3
Michael Tyson,51,Account Manager OEM,24,Leif Shine,3
Helen Brolin,52,Account Manager,8,Mike McDonald,3
Tom Lindwall,55,Account manager,15,Helena Du Froid,3
Rolph Lundgren,56,CFO,1,Erik Fredriksen,1
Marie Collere,57,Global HR Director,56,Rolph Lundgren,2
Brett Leatherman,58,General HR Administrator,57,Marie Collere,3
Natalia Navskaya,59,General HR Administrator,57,Marie Collere,3
Aziz al Abbas,60,General Recruiter,57,Marie Collere,3
Mark Richman,61,Global Finance Director,56,Rolph Lundgren,2
Luis Champion,62,Global Finance Controller,61,Mark Richman,3
Julia Estavez,63,Payment Specialist,62,Luis Champion,4
Jay Mong Wa,64,Jr Controller,62,Luis Champion,4
Lucia Fernandez,65,Invoice Specialist,61,Mark Richman,3
Daniela Schweitzer,66,Legal Counsel,61,Mark Richman,3
Marco Ramos,80,BI Specialist,6,Rolf Wesenlund,4
Martina Gutierrez,81,BI Specialist,6,Rolf Wesenlund,4
Valentino Carpachio,161,Account Manager,15,Helena Du Froid,3
Lionel Lazy,162,Account Manager,8,Mike McDonald,3
Lisa Galloway,164,Purchasing Manager,17,Miro Takako,3
Petra Connors,165,Purchasing Manager,17,Miro Takako,3
